sentence_id,category,reference,perturbation,severity,candidate,note
4,cs.CL,"At the contact, it is unaware that contact execution is bounded by the same constraint.",negation,5,"At the contact, it is not unaware that contact execution is bounded by the same constraint.",inserted 'not' after 'is'
5,cs.CL,"To close this gap, we present SafeHarness, which equips the model with two obstacle-aware harnesses that enable it to prioritize the safety constraint.",identical,0,"To close this gap, we present SafeHarness, which equips the model with two obstacle-aware harnesses that enable it to prioritize the safety constraint.",unchanged
5,cs.CL,"To close this gap, we present SafeHarness, which equips the model with two obstacle-aware harnesses that enable it to prioritize the safety constraint.",synonym,1,"To close this gap, we present SafeHarness, which equips the model with two obstacle-aware harness that enable it to prioritize the safety constraint.",harnesses -> harness
5,cs.CL,"To close this gap, we present SafeHarness, which equips the model with two obstacle-aware harnesses that enable it to prioritize the safety constraint.",scramble,2,"two the close which To prioritize safety harnesses this that we gap, present with it SafeHarness, equips model enable the to obstacle-aware",word order shuffled
5,cs.CL,"To close this gap, we present SafeHarness, which equips the model with two obstacle-aware harnesses that enable it to prioritize the safety constraint.",antonym,4,"To open this gap, we present SafeHarness, which equips the model with two obstacle-aware harnesses that enable it to prioritize the safety constraint.",close -> open
5,cs.CL,"To close this gap, we present SafeHarness, which equips the model with two obstacle-aware harnesses that enable it to prioritize the safety constraint.",negation,5,"It is not the case that to close this gap, we present SafeHarness, which equips the model with two obstacle-aware harnesses that enable it to prioritize the safety constraint.",prepended denial
6,cs.CL,Obstacle-aware route planning grounds the objects as bounding boxes and draws candidate routes over them as sequences of waypoints.,identical,0,Obstacle-aware route planning grounds the objects as bounding boxes and draws candidate routes over them as sequences of waypoints.,unchanged
6,cs.CL,Obstacle-aware route planning grounds the objects as bounding boxes and draws candidate routes over them as sequences of waypoints.,synonym,1,Obstacle-aware route planning grounds the objects as bounding boxes and draws candidate path over them as sequences of waypoints.,routes -> path
6,cs.CL,Obstacle-aware route planning grounds the objects as bounding boxes and draws candidate routes over them as sequences of waypoints.,scramble,2,over them of bounding grounds and sequences routes as objects candidate Obstacle-aware the as draws planning route boxes,word order shuffled
6,cs.CL,Obstacle-aware route planning grounds the objects as bounding boxes and draws candidate routes over them as sequences of waypoints.,negation,5,It is not the case that obstacle-aware route planning grounds the objects as bounding boxes and draws candidate routes over them as sequences of waypoints.,prepended denial
7,cs.CL,"The agent then plans a route in advance, verifies it, replans when necessary, and only then executes it.",identical,0,"The agent then plans a route in advance, verifies it, replans when necessary, and only then executes it.",unchanged
7,cs.CL,"The agent then plans a route in advance, verifies it, replans when necessary, and only then executes it.",synonym,1,"The agent then plans a route in advance, verifies it, replans when necessary, and only so executes it.",then -> so
7,cs.CL,"The agent then plans a route in advance, verifies it, replans when necessary, and only then executes it.",scramble,2,"only then replans a then it, and executes plans advance, The in agent when necessary, route verifies",word order shuffled
7,cs.CL,"The agent then plans a route in advance, verifies it, replans when necessary, and only then executes it.",negation,5,"It is not the case that the agent then plans a route in advance, verifies it, replans when necessary, and only then executes it.",prepended denial
8,cs.CL,Obstacle-aware contact execution instead selects the contact position so that the contact itself avoids the obstacle.,identical,0,Obstacle-aware contact execution instead selects the contact position so that the contact itself avoids the obstacle.,unchanged
8,cs.CL,Obstacle-aware contact execution instead selects the contact position so that the contact itself avoids the obstacle.,synonym,1,Obstacle-aware contact execution instead selects the contact position so that the contact itself avoid the obstacle.,avoids -> avoid
8,cs.CL,Obstacle-aware contact execution instead selects the contact position so that the contact itself avoids the obstacle.,scramble,2,contact position that selects execution contact the contact the instead the avoids itself so Obstacle-aware,word order shuffled
8,cs.CL,Obstacle-aware contact execution instead selects the contact position so that the contact itself avoids the obstacle.,antonym,4,Obstacle-aware contact execution instead selects the contact position so that the contact itself confront the obstacle.,avoids -> confront
8,cs.CL,Obstacle-aware contact execution instead selects the contact position so that the contact itself avoids the obstacle.,negation,5,It is not the case that obstacle-aware contact execution instead selects the contact position so that the contact itself avoids the obstacle.,prepended denial
9,cs.CL,"SafeHarness attains 71.9% task success and 87.5% collision avoidance, surpassing the previous SOTA by 6.5% and 27.0%, respectively.",identical,0,"SafeHarness attains 71.9% task success and 87.5% collision avoidance, surpassing the previous SOTA by 6.5% and 27.0%, respectively.",unchanged
9,cs.CL,"SafeHarness attains 71.9% task success and 87.5% collision avoidance, surpassing the previous SOTA by 6.5% and 27.0%, respectively.",synonym,1,"SafeHarness achieve 71.9% task success and 87.5% collision avoidance, surpassing the previous SOTA by 6.5% and 27.0%, respectively.",attains -> achieve
9,cs.CL,"SafeHarness attains 71.9% task success and 87.5% collision avoidance, surpassing the previous SOTA by 6.5% and 27.0%, respectively.",scramble,2,"collision 27.0%, 6.5% SafeHarness SOTA 87.5% previous success task attains and and by the avoidance, surpassing 71.9%",word order shuffled
9,cs.CL,"SafeHarness attains 71.9% task success and 87.5% collision avoidance, surpassing the previous SOTA by 6.5% and 27.0%, respectively.",number_swap,3,"SafeHarness attains 96.9% task success and 87.5% collision avoidance, surpassing the previous SOTA by 6.5% and 27.0%, respectively.",71.9% -> 96.9%
9,cs.CL,"SafeHarness attains 71.9% task success and 87.5% collision avoidance, surpassing the previous SOTA by 6.5% and 27.0%, respectively.",negation,5,"It is not the case that safeHarness attains 71.9% task success and 87.5% collision avoidance, surpassing the previous SOTA by 6.5% and 27.0%, respectively.",prepended denial
10,cs.CL,"We study whether those embeddings reflect physical measurements of mass, distance, time and volume, which admit a unique, objective notion of semantic equivalence and distance.",identical,0,"We study whether those embeddings reflect physical measurements of mass, distance, time and volume, which admit a unique, objective notion of semantic equivalence and distance.",unchanged
10,cs.CL,"We study whether those embeddings reflect physical measurements of mass, distance, time and volume, which admit a unique, objective notion of semantic equivalence and distance.",synonym,1,"We study whether those embeddings reflect physical measurements of mass, distance, time and volume, which admit a unique, objective impression of semantic equivalence and distance.",notion -> impression
10,cs.CL,"We study whether those embeddings reflect physical measurements of mass, distance, time and volume, which admit a unique, objective notion of semantic equivalence and distance.",scramble,2,"mass, physical volume, and We objective whether and distance, those semantic time study unique, embeddings notion equivalence a of measurements of which admit reflect",word order shuffled
10,cs.CL,"We study whether those embeddings reflect physical measurements of mass, distance, time and volume, which admit a unique, objective notion of semantic equivalence and distance.",antonym,4,"We study whether those embeddings reflect physical measurements of mass, distance, time and volume, which deny a unique, objective notion of semantic equivalence and distance.",admit -> deny
10,cs.CL,"We study whether those embeddings reflect physical measurements of mass, distance, time and volume, which admit a unique, objective notion of semantic equivalence and distance.",negation,5,"It is not the case that we study whether those embeddings reflect physical measurements of mass, distance, time and volume, which admit a unique, objective notion of semantic equivalence and distance.",prepended denial
11,cs.CL,"We find that physical measurement is only weakly modeled in the embedding space, and that instead quite peculiar measurement patterns can be observed.",identical,0,"We find that physical measurement is only weakly modeled in the embedding space, and that instead quite peculiar measurement patterns can be observed.",unchanged
11,cs.CL,"We find that physical measurement is only weakly modeled in the embedding space, and that instead quite peculiar measurement patterns can be observed.",synonym,1,"We happen that physical measurement is only weakly modeled in the embedding space, and that instead quite peculiar measurement patterns can be observed.",find -> happen
11,cs.CL,"We find that physical measurement is only weakly modeled in the embedding space, and that instead quite peculiar measurement patterns can be observed.",scramble,2,"measurement and that embedding can We peculiar in instead be only quite patterns weakly physical the space, modeled find is that measurement",word order shuffled
11,cs.CL,"We find that physical measurement is only weakly modeled in the embedding space, and that instead quite peculiar measurement patterns can be observed.",antonym,4,"We find that physical measurement differ only weakly modeled in the embedding space, and that instead quite peculiar measurement patterns can be observed.",is -> differ
11,cs.CL,"We find that physical measurement is only weakly modeled in the embedding space, and that instead quite peculiar measurement patterns can be observed.",negation,5,"We find that physical measurement is not only weakly modeled in the embedding space, and that instead quite peculiar measurement patterns can be observed.",inserted 'not' after 'is'
12,cs.CL,"Further analysis indicates that embedding representations of physical measurements are strongly influenced by superficial string similarity, and recalibration of similarity does not substantially improve the alignment.",identical,0,"Further analysis indicates that embedding representations of physical measurements are strongly influenced by superficial string similarity, and recalibration of similarity does not substantially improve the alignment.",unchanged
12,cs.CL,"Further analysis indicates that embedding representations of physical measurements are strongly influenced by superficial string similarity, and recalibration of similarity does not substantially improve the alignment.",synonym,1,"Further analysis indicates that embedding representations of physical measurement are strongly influenced by superficial string similarity, and recalibration of similarity does not substantially improve the alignment.",measurements -> measurement
12,cs.CL,"Further analysis indicates that embedding representations of physical measurements are strongly influenced by superficial string similarity, and recalibration of similarity does not substantially improve the alignment.",scramble,2,"of are that measurements embedding improve by does similarity string representations of analysis physical similarity, substantially Further strongly and indicates the not superficial recalibration influenced",word order shuffled
12,cs.CL,"Further analysis indicates that embedding representations of physical measurements are strongly influenced by superficial string similarity, and recalibration of similarity does not substantially improve the alignment.",antonym,4,"Further analysis indicates that embedding representations of physical measurements are strongly influenced by superficial string similarity, and recalibration of similarity unmake not substantially improve the alignment.",does -> unmake
12,cs.CL,"Further analysis indicates that embedding representations of physical measurements are strongly influenced by superficial string similarity, and recalibration of similarity does not substantially improve the alignment.",negation,5,"Further analysis indicates that embedding representations of physical measurements are not strongly influenced by superficial string similarity, and recalibration of similarity does not substantially improve the alignment.",inserted 'not' after 'are'
13,cs.CL,"Hostile rhetoric toward social groups can normalize exclusion and justify mistreatment, as well as contribute to rising polarization and political violence.",identical,0,"Hostile rhetoric toward social groups can normalize exclusion and justify mistreatment, as well as contribute to rising polarization and political violence.",unchanged
13,cs.CL,"Hostile rhetoric toward social groups can normalize exclusion and justify mistreatment, as well as contribute to rising polarization and political violence.",synonym,1,"Hostile rhetoric toward social groups can normalize exclusion and justify mistreatment, as well as contribute to rise polarization and political violence.",rising -> rise
13,cs.CL,"Hostile rhetoric toward social groups can normalize exclusion and justify mistreatment, as well as contribute to rising polarization and political violence.",scramble,2,"Hostile rhetoric social as toward groups as normalize polarization contribute and rising can to mistreatment, political and well exclusion justify",word order shuffled
13,cs.CL,"Hostile rhetoric toward social groups can normalize exclusion and justify mistreatment, as well as contribute to rising polarization and political violence.",antonym,4,"Hostile rhetoric toward social groups can normalize exclusion and justify mistreatment, as ill as contribute to rising polarization and political violence.",well -> ill
13,cs.CL,"Hostile rhetoric toward social groups can normalize exclusion and justify mistreatment, as well as contribute to rising polarization and political violence.",negation,5,"Hostile rhetoric toward social groups can not normalize exclusion and justify mistreatment, as well as contribute to rising polarization and political violence.",inserted 'not' after 'can'
14,cs.CL,"Efforts to moderate hostile rhetoric in online speech draw on foundational theories in social and moral psychology, and political science.",identical,0,"Efforts to moderate hostile rhetoric in online speech draw on foundational theories in social and moral psychology, and political science.",unchanged
14,cs.CL,"Efforts to moderate hostile rhetoric in online speech draw on foundational theories in social and moral psychology, and political science.",synonym,1,"Efforts to moderate hostile rhetoric in online speech draw on foundational theories in societal and moral psychology, and political science.",social -> societal
14,cs.CL,"Efforts to moderate hostile rhetoric in online speech draw on foundational theories in social and moral psychology, and political science.",scramble,2,"psychology, hostile in on draw in social theories online and to speech rhetoric Efforts moderate foundational and political moral",word order shuffled
14,cs.CL,"Efforts to moderate hostile rhetoric in online speech draw on foundational theories in social and moral psychology, and political science.",antonym,4,"Efforts to moderate hostile rhetoric in online speech draw on foundational theories in social and immoral psychology, and political science.",moral -> immoral
14,cs.CL,"Efforts to moderate hostile rhetoric in online speech draw on foundational theories in social and moral psychology, and political science.",negation,5,"It is not the case that efforts to moderate hostile rhetoric in online speech draw on foundational theories in social and moral psychology, and political science.",prepended denial
15,cs.CL,"However, these theories were developed largely in parallel, often propose different and sometimes conflicting accounts of how hostility develops, and have rarely been tested against each other in real discourse.",identical,0,"However, these theories were developed largely in parallel, often propose different and sometimes conflicting accounts of how hostility develops, and have rarely been tested against each other in real discourse.",unchanged
15,cs.CL,"However, these theories were developed largely in parallel, often propose different and sometimes conflicting accounts of how hostility develops, and have rarely been tested against each other in real discourse.",synonym,1,"However, these theories were developed largely in parallel, often propose different and sometimes conflicting accounts of how hostility develops, and have rarely be tested against each other in real discourse.",been -> be
15,cs.CL,"However, these theories were developed largely in parallel, often propose different and sometimes conflicting accounts of how hostility develops, and have rarely been tested against each other in real discourse.",scramble,2,"different been rarely other real However, of how against sometimes in conflicting tested and in were accounts and develops, propose largely these theories each often developed have parallel, hostility",word order shuffled
15,cs.CL,"However, these theories were developed largely in parallel, often propose different and sometimes conflicting accounts of how hostility develops, and have rarely been tested against each other in real discourse.",antonym,4,"However, these theories were developed largely in parallel, often propose different and sometimes conflicting accounts of how hostility develops, and lack rarely been tested against each other in real discourse.",have -> lack
15,cs.CL,"However, these theories were developed largely in parallel, often propose different and sometimes conflicting accounts of how hostility develops, and have rarely been tested against each other in real discourse.",negation,5,"However, these theories were not developed largely in parallel, often propose different and sometimes conflicting accounts of how hostility develops, and have rarely been tested against each other in real discourse.",inserted 'not' after 'were'
16,cs.CL,"The result is a fragmented understanding of the rhetorical mechanisms of hostility, without a clear sense of how they appear, and relate to each other, in real-world discourse.",identical,0,"The result is a fragmented understanding of the rhetorical mechanisms of hostility, without a clear sense of how they appear, and relate to each other, in real-world discourse.",unchanged
16,cs.CL,"The result is a fragmented understanding of the rhetorical mechanisms of hostility, without a clear sense of how they appear, and relate to each other, in real-world discourse.",synonym,1,"The result is a fragmented understanding of the rhetorical mechanisms of hostility, without a clear sense of how they appear, and associate to each other, in real-world discourse.",relate -> associate
16,cs.CL,"The result is a fragmented understanding of the rhetorical mechanisms of hostility, without a clear sense of how they appear, and relate to each other, in real-world discourse.",scramble,2,"a understanding to each the hostility, without real-world relate appear, is of they of The a sense in mechanisms fragmented how rhetorical of result other, clear and",word order shuffled
16,cs.CL,"The result is a fragmented understanding of the rhetorical mechanisms of hostility, without a clear sense of how they appear, and relate to each other, in real-world discourse.",antonym,4,"The result is a fragmented understanding of the rhetorical mechanisms of hostility, without a clear sense of how they appear, and dissociate to each other, in real-world discourse.",relate -> dissociate
16,cs.CL,"The result is a fragmented understanding of the rhetorical mechanisms of hostility, without a clear sense of how they appear, and relate to each other, in real-world discourse.",negation,5,"The result is not a fragmented understanding of the rhetorical mechanisms of hostility, without a clear sense of how they appear, and relate to each other, in real-world discourse.",inserted 'not' after 'is'
17,cs.CL,"Coding harnesses shape how autonomous coding agents translate model capabilities into long-horizon software-engineering performance, yet existing work typically evaluates harnesses as monolithic systems, leaving the effectiveness of individual components unclear.",identical,0,"Coding harnesses shape how autonomous coding agents translate model capabilities into long-horizon software-engineering performance, yet existing work typically evaluates harnesses as monolithic systems, leaving the effectiveness of individual components unclear.",unchanged
17,cs.CL,"Coding harnesses shape how autonomous coding agents translate model capabilities into long-horizon software-engineering performance, yet existing work typically evaluates harnesses as monolithic systems, leaving the effectiveness of individual components unclear.",synonym,1,"Coding harness shape how autonomous coding agents translate model capabilities into long-horizon software-engineering performance, yet existing work typically evaluates harnesses as monolithic systems, leaving the effectiveness of individual components unclear.",harnesses -> harness
17,cs.CL,"Coding harnesses shape how autonomous coding agents translate model capabilities into long-horizon software-engineering performance, yet existing work typically evaluates harnesses as monolithic systems, leaving the effectiveness of individual components unclear.",scramble,2,"individual long-horizon harnesses capabilities coding performance, evaluates the typically agents shape Coding translate model leaving yet how into work components harnesses existing autonomous as monolithic of software-engineering effectiveness systems,",word order shuffled
17,cs.CL,"Coding harnesses shape how autonomous coding agents translate model capabilities into long-horizon software-engineering performance, yet existing work typically evaluates harnesses as monolithic systems, leaving the effectiveness of individual components unclear.",antonym,4,"Coding harnesses shape how autonomous coding agents translate model capabilities into long-horizon software-engineering performance, yet existing work typically evaluates harnesses as monolithic systems, arrive the effectiveness of individual components unclear.",leaving -> arrive
17,cs.CL,"Coding harnesses shape how autonomous coding agents translate model capabilities into long-horizon software-engineering performance, yet existing work typically evaluates harnesses as monolithic systems, leaving the effectiveness of individual components unclear.",negation,5,"It is not the case that coding harnesses shape how autonomous coding agents translate model capabilities into long-horizon software-engineering performance, yet existing work typically evaluates harnesses as monolithic systems, leaving the effectiveness of individual components unclear.",prepended denial
18,cs.CL,"To enable component-level comparisons, we study this question with a lightweight coding harness whose execution loop is fixed while three components are varied: planning, action space, and context management.",identical,0,"To enable component-level comparisons, we study this question with a lightweight coding harness whose execution loop is fixed while three components are varied: planning, action space, and context management.",unchanged
18,cs.CL,"To enable component-level comparisons, we study this question with a lightweight coding harness whose execution loop is fixed while three components are varied: planning, action space, and context management.",synonym,1,"To enable component-level comparisons, we study this question with a lightweight coding harness whose execution loop is fixed while three components are varied: planning, activity space, and context management.",action -> activity
18,cs.CL,"To enable component-level comparisons, we study this question with a lightweight coding harness whose execution loop is fixed while three components are varied: planning, action space, and context management.",scramble,2,"To loop lightweight varied: action harness planning, three enable components this comparisons, we is question with whose context while coding and component-level study fixed are a execution space,",word order shuffled
18,cs.CL,"To enable component-level comparisons, we study this question with a lightweight coding harness whose execution loop is fixed while three components are varied: planning, action space, and context management.",antonym,4,"To enable component-level comparisons, we study this question with a lightweight coding harness whose execution loop differ fixed while three components are varied: planning, action space, and context management.",is -> differ
18,cs.CL,"To enable component-level comparisons, we study this question with a lightweight coding harness whose execution loop is fixed while three components are varied: planning, action space, and context management.",negation,5,"To enable component-level comparisons, we study this question with a lightweight coding harness whose execution loop is not fixed while three components are varied: planning, action space, and context management.",inserted 'not' after 'is'
19,cs.CL,"Across four models evaluated on SWE-Bench Verified and Terminal-Bench 2.1, we evaluate 176 matched settings spanning five context-management strategies, four context-window budgets, and targeted ablations of planning and action space.",identical,0,"Across four models evaluated on SWE-Bench Verified and Terminal-Bench 2.1, we evaluate 176 matched settings spanning five context-management strategies, four context-window budgets, and targeted ablations of planning and action space.",unchanged
19,cs.CL,"Across four models evaluated on SWE-Bench Verified and Terminal-Bench 2.1, we evaluate 176 matched settings spanning five context-management strategies, four context-window budgets, and targeted ablations of planning and action space.",synonym,1,"Across four models measure on SWE-Bench Verified and Terminal-Bench 2.1, we evaluate 176 matched settings spanning five context-management strategies, four context-window budgets, and targeted ablations of planning and action space.",evaluated -> measure
19,cs.CL,"Across four models evaluated on SWE-Bench Verified and Terminal-Bench 2.1, we evaluate 176 matched settings spanning five context-management strategies, four context-window budgets, and targeted ablations of planning and action space.",scramble,2,"ablations on matched Verified models planning we four five four SWE-Bench context-window 2.1, action spanning and of targeted 176 strategies, and and budgets, evaluate settings evaluated context-management Terminal-Bench Across",word order shuffled
19,cs.CL,"Across four models evaluated on SWE-Bench Verified and Terminal-Bench 2.1, we evaluate 176 matched settings spanning five context-management strategies, four context-window budgets, and targeted ablations of planning and action space.",number_swap,3,"Across four models evaluated on SWE-Bench Verified and Terminal-Bench 2.1, we evaluate 179 matched settings spanning five context-management strategies, four context-window budgets, and targeted ablations of planning and action space.",176 -> 179
19,cs.CL,"Across four models evaluated on SWE-Bench Verified and Terminal-Bench 2.1, we evaluate 176 matched settings spanning five context-management strategies, four context-window budgets, and targeted ablations of planning and action space.",antonym,4,"Across four models evaluated on SWE-Bench Verified and Terminal-Bench 2.1, we evaluate 176 mismatched settings spanning five context-management strategies, four context-window budgets, and targeted ablations of planning and action space.",matched -> mismatched
19,cs.CL,"Across four models evaluated on SWE-Bench Verified and Terminal-Bench 2.1, we evaluate 176 matched settings spanning five context-management strategies, four context-window budgets, and targeted ablations of planning and action space.",negation,5,"It is not the case that across four models evaluated on SWE-Bench Verified and Terminal-Bench 2.1, we evaluate 176 matched settings spanning five context-management strategies, four context-window budgets, and targeted ablations of planning and action space.",prepended denial
20,cs.CL,These findings inform model- and budget-aware harness design and provide a modular framework for evaluating future harness components.,identical,0,These findings inform model- and budget-aware harness design and provide a modular framework for evaluating future harness components.,unchanged
20,cs.CL,These findings inform model- and budget-aware harness design and provide a modular framework for evaluating future harness components.,synonym,1,These findings inform model- and budget-aware harness design and provide a modular framework for measure future harness components.,evaluating -> measure
20,cs.CL,These findings inform model- and budget-aware harness design and provide a modular framework for evaluating future harness components.,scramble,2,design framework and a modular findings future and These evaluating harness budget-aware for model- provide harness inform,word order shuffled
20,cs.CL,These findings inform model- and budget-aware harness design and provide a modular framework for evaluating future harness components.,antonym,4,These findings inform model- and budget-aware harness design and provide a modular framework for evaluating past harness components.,future -> past
20,cs.CL,These findings inform model- and budget-aware harness design and provide a modular framework for evaluating future harness components.,negation,5,It is not the case that these findings inform model- and budget-aware harness design and provide a modular framework for evaluating future harness components.,prepended denial
21,cs.CL,"World modeling enables intelligence to anticipate consequences, guide interventions, and learn from interaction.",identical,0,"World modeling enables intelligence to anticipate consequences, guide interventions, and learn from interaction.",unchanged
21,cs.CL,"World modeling enables intelligence to anticipate consequences, guide interventions, and learn from interaction.",synonym,1,"universe modeling enables intelligence to anticipate consequences, guide interventions, and learn from interaction.",World -> universe
21,cs.CL,"World modeling enables intelligence to anticipate consequences, guide interventions, and learn from interaction.",scramble,2,"to enables modeling interventions, anticipate intelligence consequences, from and World learn guide",word order shuffled
21,cs.CL,"World modeling enables intelligence to anticipate consequences, guide interventions, and learn from interaction.",negation,5,"It is not the case that world modeling enables intelligence to anticipate consequences, guide interventions, and learn from interaction.",prepended denial
22,cs.CL,"We introduce JEPA-Anything, a domain-agnostic framework based on orthogonal predictive factorization (OPF).",identical,0,"We introduce JEPA-Anything, a domain-agnostic framework based on orthogonal predictive factorization (OPF).",unchanged
22,cs.CL,"We introduce JEPA-Anything, a domain-agnostic framework based on orthogonal predictive factorization (OPF).",synonym,1,"We introduce JEPA-Anything, a domain-agnostic model based on orthogonal predictive factorization (OPF).",framework -> model
22,cs.CL,"We introduce JEPA-Anything, a domain-agnostic framework based on orthogonal predictive factorization (OPF).",scramble,2,"domain-agnostic orthogonal introduce JEPA-Anything, We predictive factorization on framework based a",word order shuffled
22,cs.CL,"We introduce JEPA-Anything, a domain-agnostic framework based on orthogonal predictive factorization (OPF).",negation,5,"It is not the case that we introduce JEPA-Anything, a domain-agnostic framework based on orthogonal predictive factorization (OPF).",prepended denial
23,cs.CL,"Extending joint-embedding predictive architectures, OPF decomposes latent targets into complementary factors, learns them through dedicated pathways, and recombines them within a shared predictive design.",identical,0,"Extending joint-embedding predictive architectures, OPF decomposes latent targets into complementary factors, learns them through dedicated pathways, and recombines them within a shared predictive design.",unchanged
23,cs.CL,"Extending joint-embedding predictive architectures, OPF decomposes latent targets into complementary factors, learns them through dedicated pathways, and recombines them within a shared predictive design.",synonym,1,"Extending joint-embedding prognostic architectures, OPF decomposes latent targets into complementary factors, learns them through dedicated pathways, and recombines them within a shared predictive design.",predictive -> prognostic
23,cs.CL,"Extending joint-embedding predictive architectures, OPF decomposes latent targets into complementary factors, learns them through dedicated pathways, and recombines them within a shared predictive design.",scramble,2,"through within decomposes pathways, predictive joint-embedding factors, OPF Extending dedicated them complementary and latent them predictive into shared a recombines learns architectures, targets",word order shuffled
23,cs.CL,"Extending joint-embedding predictive architectures, OPF decomposes latent targets into complementary factors, learns them through dedicated pathways, and recombines them within a shared predictive design.",negation,5,"It is not the case that extending joint-embedding predictive architectures, OPF decomposes latent targets into complementary factors, learns them through dedicated pathways, and recombines them within a shared predictive design.",prepended denial
24,cs.CL,"We evaluate JEPA-Anything across seven domains: vision, biology, clinical trajectories, control, molecular dynamics, physical fields, and weather.",identical,0,"We evaluate JEPA-Anything across seven domains: vision, biology, clinical trajectories, control, molecular dynamics, physical fields, and weather.",unchanged
