lp,src,mt,ref,raw,score
cs-en,"Garcia uvedl, že uznává Lomačenka jako „úžasného boxera“ a mohl by se zúčastnit jeho sobotního zápasu.","Garcia stated that he recognises Lomachenko as an ""amazing boxer"" and could take part in his Saturday match.","Garcia said he appreciates Lomachenko as ""a tremendous fighter,"" and may attend his Saturday bout.",94.0,0.809323198266263
cs-en,Soudní lékař přikrývá 27. července 1946 jedno z těl obětí lynčování u Moore's Ford.,"The medical examiner covers on July 27, 1946, one of the bodies of the lynching victims at Moore's Ford.","A coroner places a sheet over the body of one of the victims of the Moore's Ford lynching on July 27, 1946.",78.5,0.282291924816683
cs-en,"V jednom momentě ho však udeřil tak silně a přímo do nosu, že mladého zpěváka museli ošetřovat lékaři.","At one point, however, he hit him so hard and straight up his nose that the young singer had to be treated by doctors.","At one point, however, he struck him directly on the nose so hard that the young singer had to be treated by doctors.",94.6666666666667,0.79276117662603
cs-en,"Nejčastěji se pohybují v Rakousku, ale spotřebě dat v letní sezóně vévodí Chorvatsko.","They most often move in Austria, but the consumption of data in the summer season is dominated by Croatia.","They travel in Austria most often, but in the summer season the consumption of data is dominated by Croatia.",86.0,0.560079807733649
cs-en,"Autoři se odklonili od hlavní vtipné pointy - herců středního věku, kteří hrají dospívající nadržené děti - a nemohli si tak utahovat z předešlých událostí.",The authors diverged from the main funny point - middle-aged actors playing teenage horny children - and couldn't make fun of previous events.,By doubling down on the core gag - middle-age actors playing horny kids coming of age - it made the impossibility of recapturing the past part of the joke.,25.5,-0.851240391653088
cs-en,Vedro v Česku.,Heat in the Czech Republic.,Heatwave in the Czech Republic.,44.5,-0.49491101724805
cs-en,"Australských smrtonošů zmijích přišlo na svět osm, jsou to potomci chovného páru původem z populace v okolí Sydney.","Australia's deadly vipers have come to world eight, they are the descendants of a breeding couple originally from a population in and around Sydney.","Eight Australian death adders have been born, and are the descendants of a breeding pair from the population around Sydney.",61.0,-0.218805787680771
cs-en,Kalifornie může být Kalifornií a Texas může být Texasem.,"California may be California, and Texas could be Texas.","California can be California, and Texas can be Texas.",50.0,-0.561515449663116
cs-en,Z tohoto pohledu vyjadřuje socha naději a naslouchá jejich potřebám.,"From this perspective, the statue expresses hope and listens to their needs.",Her statue speaks back to them the words of hope and welcome they need to hear.,46.5,-0.695975713096078
cs-en,Řidiči dostávají vodu či letní stejnokroj.,Drivers get water or summer uniforms.,Drivers receive water or a summer uniform.,100.0,0.996255741165724
cs-en,Tiskový mluvčí správní rady města Solihull řekl: ‚Jsme si vědomi neoprávněného pobytu na pozemku poblíž Streetsbrook Road a ve spolupráci s místní policií podnikáme nezbytné právní kroky ke zdárnému vyřešení celého problému.,"A press spokesman for the board of the city of Solihull said: ""We are aware of an unauthorised stay at a property near Streetsbrook Road and, in collaboration with local police, we are taking the necessary legal action to successfully resolve the whole problem.","A spokeswoman for Solihull Council said: 'We are aware of an unauthorised encampment on land off Streetsbrook Road and working alongside Solihull Police, we are undertaking the necessary legal actions to move them on as quickly as possible.",76.0,0.538597093359589
cs-en,STAN už nějakou dobu připomíná spíš reality show než skutečnou politickou stranu a Dědkova pomocná ruka jako by z žádané nevěsty ještě víc dělala prodejnou holku.,"The tent had been more of a reality show than a real political party for some time, and Children's helping hand seemed to make the desired bride even more of a sales girl.","For some time now, STAN has been acting more like a reality show than a real political party, and Dědek's helping hand seems to be making a shop assistant out of a sought-after bride.",25.5,-1.25827937779271
cs-en,A to není vše.,And that's not all.,"There were other changes, too.",55.0,-0.103148408855925
cs-en,"Média zveřejnila slova prezidenta Donalda Trumpa o novém imigračním plánu USA, v jehož rámci dojde také na změnu při udělování zelené karty.","The media has released President Donald Trump's words on a new US immigration plan, under which there will also be a change in the granting of a green card.","There is going to be new US immigration plan to modify Green Card rules, President Donald Trump said, quoted by the media.",98.0,1.12357475386949
cs-en,"Až vloni na podzim vláda schválila odkup vepřína a rozhodla o tom, aby byl vypracován znalecký posudek k určení ceny.",It was not until last autumn that the Government approved the purchase of the veto and decided to draw up an expert report to determine the price.,"At least, that was until autumn of this year, when the government approved the purchase of the pig farm and decided to call an expert judgment to determine the price.",17.0,-1.5478030970674
cs-en,"Podobně jako Glint dovoluje Convercent společnostem odesílat přizpůsobitelné „bleskové“ průzkumy, shromažďovat důvěrné informace v reálném čase a zobrazovat teplotní mapy problémových oblastí.","Like Glint, Convercent allows companies to send customizable ""flash"" surveys, collect confidential information in real time, and display temperature maps of problem areas.","Like Glint, Convercent lets companies send customized ""pulse"" surveys, gather confidential responses in real time, and view heat maps of its problem areas.",74.0,0.623220004371706
cs-en,"Těžce obrněný dinosaurus využíval červenou a bílou kamufláž k ochraně proti predátorům a používal systém maskování, který používá mnoho dnešních zvířat.","The heavily armoured dinosaur used red and white camouflage to protect against predators, using a camouflage system used by many of today's animals.","The heavily armoured dinosaur used red and white camouflage to hide from predators, and employed a shielding technique known as counter-shading, which is also used by many modern-day animals.",74.0,1.41598597825948
cs-en,Dokázal se po nich vrátit k práci i na tenisový kurt a na lyžařské sjezdovky.,He was able to get back to work on the tennis court and ski slopes.,"Afterwards, he was able to go back to working on the tennis court and the ski slopes.",50.0,0.392501268694588
cs-en,"Ukázalo se, že je také obratný v používání Facebooku jako hlavního prostředku ke spojení se svými voliči - výjimkou není ani zveřejnění první fotografie s holou hlavou po absolvování chemoterapie.",It turns out he is also skilful in using Facebook as the main means to connect with his constituents - the exception is not even the publication of the first photo with a bald head after undergoing chemotherapy.,"He's also been pretty deft at using Facebook as a primary means to connect with his constituents, playfully debuting his hairless head after chemo treatments on his page.",56.0,-0.0089658598072145
cs-en,"Slečna Knoxová (30) zveřejnila vyjádření v Los Angeles Times: „Michelle Carterová si zaslouží pochopení a pomoc, ne vězení.“","Ms. Knox (30) posted a statement in the Los Angeles Times: ""Michelle Carter deserves understanding and help, not prison.""","Ms Knox, 30, published an op-ed in the Los Angeles Times saying: ""Michelle Carter deserves sympathy and help, not prison.""",76.0,1.50127637072322
cs-en,Pak už se objali a fotografům ochotně pózovali.,"Then they embraced, and the photographers willingly posed.",Then they hugged and willingly posed for the photographers.,25.0,-0.673628637102174
cs-en,To je takový bezdotykový stimulátor klitorisu.,It's kind of a clitoris pacemaker.,It is a kind of contactless clitoris stimulator.,18.5,-1.88916585422393
cs-en,"Potíž je v tom, řekl redaktor Riodoce Andres Villarreal, že „čich je smysl, který lze ošálit... a pak došlo k té věci s Javierem.“","The trouble is, said Riodoce editor Andres Villarreal, that ""smell is a sense that can be fooled... and then there was that thing with Javier.""","The trouble, said Riodoce editor Andres Villarreal, is that ""smell is a sense that can be fooled ... and then the thing with Javier happened.""",55.6666666666667,0.198337455069405
cs-en,"Podle zpravodajů otřásly sebevražedné útoky, ke kterým doškol v nedávných týdnech důvěrou veřejnosti ve vládu, její nařízení a obzvláště v reputaci prezidenta Ašrafa Ghanína.","According to the rapporteurs, they have been rocked by suicide attacks in recent weeks by public confidence in the government, its regulations, and particularly in the reputation of President Ashraffe Ghana.","Correspondents say the suicide bombings in Kabul in recent weeks have also created a crisis of public confidence in the government, its policies and in particular the reputation of President Ashraf Ghani.",28.0,-1.11030936567248
cs-en,"Potřebovala se rozvíjet nejen v aktivismu a organizování, ale musela zároveň poznat rozdíl mezi různými vrstvami zkušeností s černochy a co musíme udělat pro to, abychom se osvobodili.","She needed to develop not only in activism and organizing, but she also had to tell the difference between different layers of experience with black people and what we need to do to free ourselves.","She needs to be well developed in the area of not just activism and organizing but knowing the different layers of the black experience and the black condition and what we must do to get free, to free ourselves.",70.0,0.659589459325407
cs-en,"Koncepce, že stát má financovat a stavět nové jaderné bloky, je absurdní.",The concept that the state is supposed to fund and build new nuclear blocks is absurd.,The idea that the state should finance and build new nuclear blocks is absurd.,70.0,0.659589459325407
cs-en,"Posledním exemplářem výstavy, umístěným v samostatné místnosti, je jediná stránka z výše uvedené grafické novely.","The last copy of the exhibition, located in a separate room, is the only page from the above graphic novel.","The final piece in the exhibition, which is contained in a single room, is one page from the aforementioned graphic novella.",62.5,0.040988401119009
cs-en,Kdysi takhle začínal i Vít Bárta a moc slušně to nedopadlo.,"He used to start out like that, and it didn't work out very well.","Vít Bárta also started once, and it did not work out well.",26.0,-1.19459026210095
cs-en,"My jsme, narozdíl od socanů, nikdy neměli korupční aféru, žádného Peltu, Kratochvílovou, Březinu.","We, unlike the statues, have never had a corruption affair, no PELTU, Kratochenko, Brezina.","Unlike the Social Democrats, we have never had any corruption scandals, no Pelts, no Kratochvílová, no Březinas.",38.0,-0.92931140393624
cs-en,"Zapomeňte na chvíli, že slovem „příměří“ se myslí, že jeden drogový kartel ovládá pobřežní stát s drahocennými přístavy a důležité trasy, kterými putují do Spojených států drogy.","Forget for a moment that the word ""ceasefire"" means that one drug cartel controls a coastal state with precious ports and important routes through which drugs travel to the United States.","Forget for a minute that a state of ""calm"" is when just one cartel is in control of the coastal state with its valuable ports and drug-trafficking routes to the United States.",67.0,0.367210251999102
cs-en,"Dodal, že Lathem a Warren byli zachyceni bezpečnostními kamerami.",He added that Lathem and Warren were caught by security cameras.,"Lathem and Warren were confirmed to be at the building by security cameras, he said.",100.0,1.84256248116691
cs-en,"Vstup do soutěže s dotací 3,25 milionu dolarů vyšel nejlépe americké hvězdě Michelle Wieové, která vyhrála první kolo v rekordu hřiště 64 ran, tedy osm pod par.","Entering the competition with a $3.25 million subsidy came out best to American star Michelle Wiese, who won the first round in a record-breaking 64 rounds, that is, eight under par.","The competition with a $3.25 million prize started off best for American star Michelle Wie, who won the first round with a record of 64 putts, and a score of eight under par.",37.0,-0.974019047244355
cs-en,"Andrej Babiš se oženil, křižuje republiku se svou vizionářskou knihou a finalizuje volební program.","Andrei Babiš married, cruises the republic with his visionary book and finalizes the election program.","Andrej Babiš got married, toured the Republic with his visionary book and finalised the electoral programme.",63.0,-0.138310376530141
cs-en,"Minulý měsíc federální odvolací soud ve Washingtonu rozhodl, že vykonavatel EPA překročil svou autoritu ve snaze oddálit začlenění plánu Obamovy administrativy, která vyžadovala, aby naftové a plynové společnosti snížily úniky metanu.","Last month, a federal appeals court in Washington ruled that the EPA's executor had overstepped his authority in an effort to delay the inclusion of an Obama administration plan that required diesel and gas companies to reduce methane leaks.","Last month, a federal appeals court in Washington ruled the EPA administrator overstepped his authority in trying to delay implementation of an Obama administration rule requiring oil and gas companies to monitor and reduce methane leaks.",46.0,-0.571650257471318
cs-en,"Vyplývá to z přepisů rozhovorů, které ve čtvrtek zveřejnil americký deník The Washington Post.",It stems from transcripts of interviews released Thursday by the American Journal of The Washington Post.,This has emerged from transcripts of the talks published by the US daily The Washington Post on Thursday.,84.0,0.752817852404555
cs-en,"V odpověď na dotaz ohledně tohoto zvláštního načasování Dewey-Hagborgová uvedla, že „vše se děje z nějakého důvodu“.","In response to a query about this particular timing, Dewey-Hagborg stated that ""everything happens for a reason.""","When asked about the peculiar timing of it all, Dewey-Hagborg said that ""things happen for a reason.""",100.0,1.84256248116691
cs-en,"Kayame dosud neví kdo byl střelcem, ale podle jeho slov patřila kulka jednomu z přítomných vojáků.","Kayame does not yet know who the shooter was, but according to his words, the bullet belonged to one of the soldiers present.",Kayame still doesn't know who fired but says the bullet came from the ranks of amassed soldiers.,83.5,0.78606401578332
cs-en,Střelci poté nastoupili do jeho vozu a nedaleko od místa činu jej nabourali.,The gunmen then boarded his vehicle and crashed it not far from the scene.,The gunman drove away in his car and crashed it nearby.,50.0,0.58178792885354
cs-en,Dobrou spolupráci s ČSSD by rád vyměnil za ještě lepší s ANO.,Good cooperation with ČSSD would like to trade for even better with YES.,They would like to exchange the hood cooperation with the ČSSD for an even better one with ANO.,3.0,-1.59255720914336
cs-en,"""Později je strhneme z platu soudce,"" žertoval na twitteru kritik Kremlu.","""We will later tear them out of the judge's salary,"" a Kremlin critic joked on twitter.","""Later, we'll take it off the judge's salary,"" the Kremlin critic joked on Twitter.",50.0,0.58178792885354
cs-en,"V továrně pracuje více než 500 zaměstnanců, kteří vyrábějí kromě jiných produktů i sušenky Hobnob a Rich Tea.","More than 500 employees work at the factory, producing, among other products, hobnob and Rich Tea cookies.","More than 500 people work at the plant, which produces Hobnobs and Rich Tea biscuits, among other products.",50.0,0.58178792885354
cs-en,V praxi je to ale opačně.,"In practice, it's the other way around.","In practice, the opposite turned out to be the case, however.",73.5,0.787833394788614
cs-en,"Mluvčí Sikorsky uvedl, že společnost nebyla žádným způsobem zainteresována v jednáních o vystavení helikoptéry na South Lawn.",A spokesperson for Sikorsky said the company was not in any way involved in negotiations over the exposure of the helicopter to the South Lawn.,A spokesperson for Sikorsky said the company was not involved in arranging for the helicopter to be displayed on the South Lawn.,51.0,0.622292141494176
cs-en,"Bydlím na Streetsbrook a nemíním dál hradit daně, dokud se správní rada s turisty nevypořádá.'","I live on Streetsbrook, and I'm not going to continue to pay my taxes until the board of trustees deal with tourists. """,I live on Streetsbrook road and I'm not happy to continue paying my council tax when the council can't even stop this.',42.6666666666667,-0.0558569264121543
cs-en,"Rodina ho urychleně dopravila do nemocnice, tam se však jeho blízcí dozvěděli strašnou zprávu - podle lékařů neměl šanci přežít.","The family rushed him to the hospital, but that's where his loved ones learned the terrible news - according to doctors, he didn't have a chance to survive.","His family quickly took him to the hospital, but his relatives learned terrible news there - the doctors said he had no chance to survive.",72.5,0.815506080472425
cs-en,"Naší snahou vždy bylo oddělit poctivé atlety od těch nepoctivých,“ ukončil svou řeč.","Our effort has always been to separate honest athletes from the dishonest ones, ""he ended his speech.","The guiding principle has always been that we wanted to separate the clean athletes from the tainted system,"" he added",24.0,-0.471321599802988
cs-en,Toho přitom česká policie obvinila už v roce 2014 z daňových úniků a stíhá ho na útěku.,"In 2014, the Czech police accused him of tax evasion and prosecuting him on the run.",However the Czech police accused him of tax evasion in 2014 and has been pursuing him in absentia.,50.0,0.58178792885354
cs-en,Informaci uvedl web Reuters.,The information was reported by the Reuters website.,Reuters reported on the story.,74.0,1.5538890322288
cs-en,"Nemluvě o šílené zápletce, která zahrnuje Ronalda Reagana (také pan Showalter), jehož podněcuje George H. W. Bush (velmi dobře obsazený Michael Ian Black).","Not to mention the crazy plot that includes Ronald Reagan (also Mr. Showalter), incited by George H. W. Bush (the very well-cast Michael Ian Black).","And there's another battily villainous plot involving Ronald Reagan (also Mr. Showalter), now abetted by George H. W. Bush (a well-inhabited impression by Michael Ian Black).",49.0,0.541283716212905
cs-en,Islamisté dostali ve Velké Británii doživotí za přípravu atentátu.,Islamists have been given a life sentence in the UK for preparing an assassination.,Islamists receive a life sentence in the UK for planning an attack.,78.5,0.458612074974256
cs-en,Na programu tohoto týdne jsou tři hlavní příběhy.,There are three main stories on this week's agenda.,For this week's edition Riodoce was looking at three main stories.,79.3333333333333,0.460311347568899
cs-en,Hnutí Děti Země-Klub za udržitelnou dopravu z Brna totiž podalo rozklad.,The Children of the Earth-Club movement for sustainable transport from Brno has brought decay.,"Děti Země, an organisation from Brno fighting for sustainable transport, has put a halt on the works.",18.5,-1.44828595308145
cs-en,"""Do přenesených dat by se vešlo desítky miliónu fotografií,"" upřesnila podrobnosti ředitelka mobilního segmentu v O2 Silvia Cieslarová.","""Tens of millions of photographs would fit into the transferred data,"" the director of the mobile segment at O2 Silvia Cieslar said.","""Tens of millions of photographs were transferred with the data,"" said Silvia Cieslarová, director of the O2 mobile department.",46.0,-0.527311787849319
cs-en,Profesor Severozápadní univerzity a zaměstnanec Oxfordské univerzity hledáni za vraždu,Northwestern University professor and Oxford University employee wanted for murder,Northwestern Professor and Oxford University Employee Wanted for Homicide,99.5,1.13564942816354
cs-en,Mláďata všech tří druhů se v zoo živí myšími holaty.,Cubs of all three species feed on mouse holats at the zoo.,The young of all three species are fed with mice in the zoo.,19.0,-1.40457972854731
cs-en,"Zobrazuje Manningovou, kterak se vynořuje na způsob King Konga z věznice United States Disiplinary Barracks s megafonem v ruce.",It depicts Manning emerging in the manner of King Kong from the United States Disiplinary Barracks with a megaphone in his hand.,"It shows Manning, emerging, King Kong-esque, from the United States Disiplinary Barracks with a speakerphone in hand.",96.0,1.09725847270251
cs-en,Donald Trump musel snížit cenu svého karibského sídla o neuvěřitelných 8 milionů liber.,Donald Trump has had to cut the price of his Caribbean mansion by an incredible £8 million.,Donald Trump had to slash the price of his Caribbean home by an incredible £8 million.,100.0,1.22722409354665
cs-en,"Vůbec o tom nepřemýšlím, vždyť my v té vládě asi ani nebudeme, nikdo s námi nechce spolupracovat, i když nevím, co tak hrozného jsem udělal.","I don't think about it at all, we probably won't be in the government, no one wants to cooperate with us, even though I don't know what I've done.","I'm not thinking about it at all. We will probably will not end up in government. Nobody wants to cooperate with us, even though I do not know what I've done that's so terrible.",95.0,1.06476706749147
cs-en,V zahraničí Češi spotřebují více ze svého tarifu než doma.,"Abroad, Czechs consume more of their fare than at home.",Czechs consume more of their tariffs abroad than at home.,72.5,0.329874755937201
cs-en,"Také podle dalšího nájemníka, jehož citovala agentura Reuters, oheň vypukl v nejvyšších patrech a šířil se dolů s padajícími žhavými troskami.","Also, according to another tenant quoted by Reuters news agency, the fire broke out in the top floors and spread down with falling hot debris.","Moreover, according to another tenant quoted by Reuters, the fire broke out on the top floors and spread downwards, with glowing debris falling down.",76.0,1.41727536302277
cs-en,"""Nemůže jako čtvrtá instance posuzovat skutková nebo právní pochybení, kterých se údajně dopustily obecné soudy, jestliže nepředstavují porušení ústavně chráněných práv a svobod,"" stojí v usnesení.","""It cannot, as a fourth instance, assess factual or legal errors allegedly committed by ordinary courts if they do not constitute a violation of constitutionally protected rights and freedoms,"" the order reads.","""It cannot assess the factual or legal misconduct allegedly committed by the ordinary courts for a fourth time if it does not constitute a violation of constitutionally protected rights and freedoms,"" the resolution states.",36.0,-0.977824542865452
cs-en,Mrakodrap The Torch byl postaven v roce 2011 a tehdy se stal se svými 352 metry nejvyšší obytnou budovou světa.,"Skyscraper The Torch was built in 2011 and that's when it became, with its 352 metres, the world's tallest residential building.","The Torch skyscraper was built in 2011 and was then the highest residential building in the world, at 352 metres tall.",74.5,0.58305703903059
cs-en,"Celá rozvětvená rodina se semkla, aby Karlovi usnadnila život.",The whole branched family came together to make Karl's life easier.,The whole branch of the family has come together to make life easier for Karel.,53.0,0.377420029493787
cs-en,"Celkem je naplánováno osmnáct tréninků do 20. srpna, načež začínají formální přípravy na první zápas proti týmu Texas A&M, který se koná v září.","In total, eighteen training sessions are scheduled until August 20, whereupon they begin formal preparations for the first game against the Texas A & M team, which takes place in September.",They are scheduled to hold 18 practices through Aug. 20 before beginning formal game preparations for their opener against Texas A&M on Sept.,83.3333333333333,0.603059485899657
cs-en,"Příkladem, který mluví za vše, je čínská vízová politika.",The example that speaks for all is China's visa policy.,One particularly indicative example is the Chinese visa policy.,40.0,-0.025105942785605
cs-en,"Totéž platí o vládě, kterou v naší historii řídili jen dva lidé, Klaus a Zeman.","The same is true of a government that only two people have managed in our history, Klaus and Zeman.","The same applies to the government, which has only been governed by two people in our history, Klaus and Zeman.",83.0,0.746002289256929
cs-en,Šéf EPA Scott Pruitt o odkladu plánovaných směrnic ke snížení emisí Obamovy administrativy,EPA chief Scott Pruitt on postponing planned directives to reduce Obama administration emissions,EPA Chief Pruitt Backtracks on Delaying Obama-Era Rules to Reduce Emissions,2.0,-2.03874998365393
